name,main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,Discount_Amount,Discount_Percent,Brand,Brand_Fixed,Brand_Tier,Brand_TwoWord
Allen Solly Men's Regular Fit Polo,men's clothing,T-shirts & Polos,4.1,"60,020",590,"1,099",509,46,Allen,Allen Solly,Mid-Premium,Allen Solly
Van Heusen Men's Regular Fit Polo Shirt,men's clothing,T-shirts & Polos,4.0,"28,727",550,"1,099",549,50,Van,Van Heusen,Mid-Premium,Van Heusen
Scott International Men's Regular Fit T-Shirt (Pack of 3),men's clothing,T-shirts & Polos,3.7,"36,734",523,"2,397","1,874",78,Scott,Scott,Mid-Premium,Scott International
TOPLOT T-Shirt for Men||T Shirt||White T-Shirt for Men||T-Shirt for Boys||Regular Fit T-Shirt for Mens||T Shirt for Men||t...,men's clothing,T-shirts & Polos,4.5,51,299,"1,999","1,700",85,TOPLOT,TOPLOT,Unbranded/Long-tail,TOPLOT T-Shirt
Amazon Brand - Symbol Men's Regular Polo Shirt,men's clothing,T-shirts & Polos,3.9,"21,352",309,"1,099",790,72,Amazon,Amazon Brand,Mass/Value,Amazon Brand
LEOTUDE Women's Cottonblend Half Sleeve Oversized T-Shirts (Color: Orange),men's clothing,T-shirts & Polos,3.6,159,294,"1,099",805,73,LEOTUDE,LEOTUDE,Mass/Value,LEOTUDE Women's
Chromozome Men Mens Tshirts,men's clothing,T-shirts & Polos,3.9,"15,479",399,915,516,56,Chromozome,Chromozome,Unbranded/Long-tail,Chromozome Men
London Hills Solid Men Half Sleeve Pure Cotton Round Neck T-Shirt,men's clothing,T-shirts & Polos,3.8,932,199,"1,299","1,100",85,London,London,Unbranded/Long-tail,London Hills
Amazon Brand - Symbol Men's Regular Fit T-Shirt,men's clothing,T-shirts & Polos,3.9,"2,897",199,699,500,72,Amazon,Amazon Brand,Mass/Value,Amazon Brand
Adidas Men's Regular Polo Shirt,men's clothing,T-shirts & Polos,3.9,743,629,"1,799","1,170",65,Adidas,Adidas,Premium,Adidas Men's
Jockey 2714 Men's Super Combed Cotton Rich Solid Round Neck Half Sleeve T-Shirt,men's clothing,T-shirts & Polos,4.3,"20,231",,549,549,100,Jockey,Jockey,Premium,Jockey 2714
